airspeed,drone_mass,payload_mass,battery_mass,induced_speed_payload,thrust_payload,epm_payload,flight_range_payload,power_payload,induced_speed_no_payload,thrust_no_payload,epm_no_payload,flight_range_no_payload,power_no_payload,epm_3
9.5,7,7,10,7.290198646628879,265.9445420625,340.49119772163033,15.859440820008473,3234.666378355488,5.597238223614324,185.997798875,187.07498886303983,28.865430022574603,1777.2123941988784,263.7830932923351
10.0,7,7,10,7.154915053177785,269.247825,330.0082475502951,16.36322740442119,3300.082475502951,5.46125053896539,188.08055,180.8838212029575,29.853416209850106,1808.838212029575,255.4460343766263
10.5,7,7,10,7.023314286210963,272.7205070625,321.6636890556841,16.787720167771848,3377.468735084683,5.33125198866038,190.270108875,176.03026233946534,30.67654350015327,1848.317754564386,248.8469756975747
11.0,7,7,10,6.896143265297868,276.36258825,315.25517699712617,17.128981200042993,3467.806946968388,5.207655849683164,192.5664755,172.38251566206162,31.325682765798305,1896.2076722826778,243.8188463295939
11.5,7,7,10,6.773969754442012,280.1740685625,310.61238506582214,17.38501186569132,3572.0424282569543,5.09069691537444,194.969649875,169.82925813615853,31.796641281154372,1953.036468565823,240.22082160099035
12.0,7,7,10,6.657236779837479,284.154948,307.5915828529755,17.555746974328375,3691.0989942357055,4.980459128800419,197.47963199999998,168.2756612387583,32.090202232741184,2019.3079348650995,237.93362204586688
12.5,7,7,10,6.546240196019621,288.3052265625,306.0690459972193,17.643077830382953,3825.863074965241,4.876907144632538,200.096421875,167.64045108221995,32.211795930753894,2095.5056385277494,236.85474853971962
13.0,7,7,10,6.441157044028284,292.62490425,305.9374884439221,17.650664609511598,3977.1873497709876,4.779921729934839,202.8200195,167.85374224375423,32.17086451464523,2182.098649168805,236.8956153438382
13.5,7,7,10,6.342076231124702,297.1139810625,307.10337536067914,17.58365564578358,4145.895567369168,4.689315869713746,205.650424875,168.85495864502414,31.980109102701373,2279.541941707826,237.97916700285163
14.0,7,7,10,6.248999348047398,301.77245700000003,309.48393020353063,17.44840191362671,4332.775022849429,4.604856216980431,208.587638,170.5913141934137,31.65460108876098,2388.278398707792,240.03762219847215
14.5,7,7,10,6.161870295628405,306.6003320625,313.0056010339688,17.252087445598033,4538.581214992548,4.526283794278415,211.631658875,173.0166087505853,31.21087645281761,2508.740826883487,243.01110489227705
15.0,7,7,10,6.080575135164102,311.59760625,317.60201166252307,17.002411199265076,4764.030174937846,4.453319085398318,214.7824875,176.08996828519963,30.6661421578203,2641.3495242779945,246.84598997386135
15.5,7,7,10,6.004965480210527,316.7642795625,323.21298986531843,16.707249304089416,5009.801342912436,4.385677221399971,218.040123875,179.7750336394742,30.037541313046333,2786.5130214118503,251.49401175239632
16.0,7,7,10,5.934865790298507,322.100352,329.7833845287496,16.374384681982797,5276.5341524599935,4.32307351462526,221.40456799999998,184.03913575984723,29.34158529763182,2944.6261721575556,256.9112601442984
16.5,7,7,10,5.870083707632323,327.6058235625,337.26222168503557,16.011280400812232,5564.826657803087,4.2652285890920485,224.875819875,188.85262721478145,28.593724533461735,3116.0683490438937,263.0574244499085
17.0,7,7,10,5.810409923117414,333.28069425,345.60177174328385,15.624919897723121,5875.230119635826,4.211871924989761,228.4538795,194.18831957804295,27.80805772321325,3301.20143282673,269.8950456606634
17.5,7,7,10,5.75563496734608,339.1249640625,354.757279428232,15.221674968032415,6208.25238999406,4.16274418132258,232.13874687499998,200.02101412696106,26.997163390904575,3500.3677472218187,277.3891467775965
18.0,7,7,10,5.705545342462059,345.138633,364.6862606709525,14.807248263384094,6564.352692077145,4.117599687242171,235.930422,206.32713564523257,26.172030077929175,3713.8884416141864,285.50669815809255
18.5,7,7,10,5.659928926742528,351.3217010625,375.3482006173289,14.386641500128974,6943.941711420585,4.076202641579073,239.82890487499998,213.08433434998886,25.34207883687289,3942.0601854747943,294.2162674836589
19.0,7,7,10,5.618577321384609,357.67416825,386.7042802626459,13.964158856303248,7347.381324990272,4.038334345831892,243.8341955,220.27136946589962,24.515215087160833,4185.156019852093,303.48782486427274
19.5,7,7,10,5.5812875271971745,364.1960345625,398.7171827995394,13.54343437642848,7774.985064591018,4.003788195389066,247.94629387499998,227.86782596422483,23.697948480220276,4443.422606302384,313.2925043818821
20.0,7,7,10,5.547863094407672,370.8873,411.35096753305277,13.127476112150145,8227.019350661056,3.9723705772524487,252.1652,235.85399737094568,22.895520365113867,4717.079947418913,323.6024824519992
20.5,7,7,10,5.518114864870502,377.7479645625,424.570999695177,12.718720788459311,8703.70549375113,3.9439003306926526,256.490913875,244.21078744445424,22.11204532161885,5006.321142611312,334.3908935698156
21.0,7,7,10,5.491861404181169,384.77802825000003,438.3439249872507,12.319093962935748,9205.222424732265,3.918208111379136,260.9234355,252.9196484509889,21.350654380046787,5311.312617470767,345.6317867191198
